latitude,altitude
-90,8.7301
-87.762,8.7692
-85.969,8.9275
-83.976,9.046
-81.984,9.1248
-79.393,9.1241
-77.401,9.2029
-75.209,9.2816
-73.017,9.4001
-69.032,9.4387
-65.445,9.517
-62.656,9.6353
-59.866,9.7933
-55.881,10.07
-53.092,10.3073
-50.501,10.5447
-48.509,10.7029
-47.512,10.8217
-43.926,11.4953
-39.542,12.3275
-37.35,12.7634
-36.155,13.5568
-34.959,14.2311
-33.564,14.8657
-32.568,15.2622
-30.974,15.4602
-27.786,15.8165
-24.598,16.0537
-21.609,16.1323
-18.421,16.2901
-13.24,16.2887
-7.462,16.2871
-2.481,16.3254
2.899,16.3239
8.08,16.3224
12.862,16.2814
18.043,16.2403
23.223,16.1198
27.009,15.9203
30.197,15.6813
33.186,15.363
34.382,15.1643
35.378,14.8465
36.374,14.37
37.171,13.8936
38.167,13.4568
39.164,12.9009
39.961,12.4641
42.153,12.027
43.946,11.5503
45.54,11.2324
47.333,10.9144
49.525,10.6757
51.916,10.3972
55.303,10.1581
58.491,9.8795
62.277,9.68
65.864,9.4806
69.65,9.2811
73.236,9.042
77.819,8.882
82.004,8.7618
86.387,8.7209
90,8.6802
